project,required,dep
jsonpickle,False,pytest-checkdocs
jsonpickle,False,pytest-flake8
jsonpickle,False,pytest-black-multipy
jsonpickle,False,pytest-cov
jsonpickle,False,ecdsa
jsonpickle,False,feedparser
jsonpickle,False,numpy
jsonpickle,False,pandas
jsonpickle,False,pymongo
jsonpickle,False,sklearn
jsonpickle,False,sqlalchemy
jsonpickle,False,demjson
jsonpickle,False,simplejson
jsonpickle,False,ujson
jsonpickle,False,yajl
jsonpickle,False,enum34
jsonpickle,False,jsonlib
discord-py,True,aiohttp
discord-py,False,sphinx
discord-py,False,sphinxcontrib-trio
discord-py,False,sphinxcontrib-websupport
discord-py,False,PyNaCl
singledispatch,True,six
singledispatch,True,ordereddict
singledispatch,False,sphinx
singledispatch,False,jaraco.packaging
singledispatch,False,rst.linker
singledispatch,False,pytest
singledispatch,False,pytest-checkdocs
singledispatch,False,pytest-flake8
singledispatch,False,pytest-cov
singledispatch,False,pytest-black
singledispatch,False,unittest2
mypy,True,typed-ast
mypy,True,typing-extensions
mypy,True,mypy-extensions
mypy,False,psutil
ezfnsetup,True,aiofiles
ezfnsetup,True,fortnitepy
ezfnsetup,True,psutil
ezfnsetup,True,requests
ezfnsetup,True,sanic
keras-applications,True,numpy
keras-applications,True,h5py
keras-applications,False,pytest
keras-applications,False,pytest-pep8
keras-applications,False,pytest-xdist
keras-applications,False,pytest-cov
oscrypto,True,asn1crypto
tenacity,True,six
tenacity,True,futures
tenacity,True,monotonic
tenacity,True,typing
tenacity,False,reno
tenacity,False,sphinx
tenacity,False,tornado
python-dotenv,True,typing
python-dotenv,False,click
snowflake-connector-python,True,azure-common
snowflake-connector-python,True,azure-storage-blob
snowflake-connector-python,True,boto3
snowflake-connector-python,True,requests
snowflake-connector-python,True,certifi
snowflake-connector-python,True,pytz
snowflake-connector-python,True,pycryptodomex
snowflake-connector-python,True,pyOpenSSL
snowflake-connector-python,True,cffi
snowflake-connector-python,True,cryptography
snowflake-connector-python,True,pyjwt
snowflake-connector-python,True,oscrypto
snowflake-connector-python,True,asn1crypto
snowflake-connector-python,True,setuptools
snowflake-connector-python,True,chardet
snowflake-connector-python,True,idna
snowflake-connector-python,True,dataclasses
snowflake-connector-python,False,pytest
snowflake-connector-python,False,pytest-cov
snowflake-connector-python,False,pytest-rerunfailures
snowflake-connector-python,False,pytest-timeout
snowflake-connector-python,False,pytest-xdist
snowflake-connector-python,False,coverage
snowflake-connector-python,False,pexpect
