pkg,date,downloads
drawdata,2021-05-08,15
human-learn,2021-05-08,23
memo,2021-05-08,20
mktestdocs,2021-05-08,12
scikit-lego,2021-05-08,221
tokenwiser,2021-05-08,12
whatlies,2021-05-08,94
clumper,2021-05-09,152
drawdata,2021-05-09,13
human-learn,2021-05-09,59
memo,2021-05-09,8
mktestdocs,2021-05-09,19
scikit-lego,2021-05-09,111
tokenwiser,2021-05-09,22
whatlies,2021-05-09,78
clumper,2021-05-10,153
drawdata,2021-05-10,9
human-learn,2021-05-10,20
memo,2021-05-10,12
mktestdocs,2021-05-10,17
scikit-lego,2021-05-10,155
tokenwiser,2021-05-10,24
whatlies,2021-05-10,199
clumper,2021-05-11,134
drawdata,2021-05-11,36
human-learn,2021-05-11,81
memo,2021-05-11,26
mktestdocs,2021-05-11,13
scikit-lego,2021-05-11,362
tokenwiser,2021-05-11,8
whatlies,2021-05-11,106
clumper,2021-05-12,69
drawdata,2021-05-12,12
human-learn,2021-05-12,30
memo,2021-05-12,13
mktestdocs,2021-05-12,11
scikit-lego,2021-05-12,225
tokenwiser,2021-05-12,37
whatlies,2021-05-12,95
clumper,2021-05-13,52
drawdata,2021-05-13,11
human-learn,2021-05-13,48
memo,2021-05-13,8
mktestdocs,2021-05-13,23
scikit-lego,2021-05-13,229
tokenwiser,2021-05-13,17
whatlies,2021-05-13,188
clumper,2021-05-14,159
drawdata,2021-05-14,15
human-learn,2021-05-14,27
memo,2021-05-14,176
mktestdocs,2021-05-14,26
scikit-lego,2021-05-14,116
tokenwiser,2021-05-14,5
whatlies,2021-05-14,90
clumper,2021-05-15,38
drawdata,2021-05-15,23
human-learn,2021-05-15,61
memo,2021-05-15,70
mktestdocs,2021-05-15,3
scikit-lego,2021-05-15,31
tokenwiser,2021-05-15,2
whatlies,2021-05-15,99
clumper,2021-05-16,43
drawdata,2021-05-16,2
human-learn,2021-05-16,51
memo,2021-05-16,34
mktestdocs,2021-05-16,8
scikit-lego,2021-05-16,157
whatlies,2021-05-16,122
clumper,2021-05-18,79
drawdata,2021-05-18,23
human-learn,2021-05-18,22
memo,2021-05-18,15
mktestdocs,2021-05-18,3
scikit-lego,2021-05-18,207
tokenwiser,2021-05-18,13
whatlies,2021-05-18,109
clumper,2021-05-19,32
drawdata,2021-05-19,12
human-learn,2021-05-19,55
memo,2021-05-19,24
mktestdocs,2021-05-19,10
scikit-lego,2021-05-19,139
tokenwiser,2021-05-19,22
whatlies,2021-05-19,84
clumper,2021-05-20,54
drawdata,2021-05-20,12
human-learn,2021-05-20,26
memo,2021-05-20,20
mktestdocs,2021-05-20,16
scikit-lego,2021-05-20,351
tokenwiser,2021-05-20,33
whatlies,2021-05-20,128
clumper,2021-05-21,77
drawdata,2021-05-21,12
human-learn,2021-05-21,15
memo,2021-05-21,21
mktestdocs,2021-05-21,8
scikit-lego,2021-05-21,135
tokenwiser,2021-05-21,34
whatlies,2021-05-21,128
clumper,2021-05-22,70
drawdata,2021-05-22,15
human-learn,2021-05-22,55
memo,2021-05-22,8
mktestdocs,2021-05-22,5
scikit-lego,2021-05-22,50
tokenwiser,2021-05-22,11
whatlies,2021-05-22,116
clumper,2021-05-23,101
drawdata,2021-05-23,10
human-learn,2021-05-23,8
memo,2021-05-23,7
mktestdocs,2021-05-23,17
scikit-lego,2021-05-23,40
tokenwiser,2021-05-23,14
whatlies,2021-05-23,40
clumper,2021-05-24,50
drawdata,2021-05-24,19
human-learn,2021-05-24,48
memo,2021-05-24,12
mktestdocs,2021-05-24,6
scikit-lego,2021-05-24,142
tokenwiser,2021-05-24,5
whatlies,2021-05-24,56
clumper,2021-05-25,30
drawdata,2021-05-25,10
human-learn,2021-05-25,84
memo,2021-05-25,46
mktestdocs,2021-05-25,12
scikit-lego,2021-05-25,121
tokenwiser,2021-05-25,16
whatlies,2021-05-25,21
clumper,2021-05-26,85
drawdata,2021-05-26,13
human-learn,2021-05-26,44
memo,2021-05-26,12
mktestdocs,2021-05-26,4
scikit-lego,2021-05-26,218
tokenwiser,2021-05-26,1
whatlies,2021-05-26,44
clumper,2021-05-27,50
drawdata,2021-05-27,8
human-learn,2021-05-27,39
memo,2021-05-27,13
mktestdocs,2021-05-27,6
scikit-lego,2021-05-27,217
tokenwiser,2021-05-27,16
whatlies,2021-05-27,18
clumper,2021-05-28,62
drawdata,2021-05-28,4
human-learn,2021-05-28,79
memo,2021-05-28,16
mktestdocs,2021-05-28,7
scikit-lego,2021-05-28,138
tokenwiser,2021-05-28,10
